All calculations;Line 5;Line 5;Line 5
"Time in s";"Phase Voltage B/Terminal j in p.u.";"Phase Voltage C/Terminal j in p.u.";"Phase Voltage A/Terminal j in p.u."
0,058518;-0,096814;0,002591;0,094223
0,058618;-0,097192;0,011609;0,085583
0,058718;-0,096777;0,014490;0,082287
0,058818;-0,094174;0,004964;0,089210
0,058918;-0,089441;-0,014193;0,103635
0,059018;-0,084102;-0,032912;0,117014
0,059118;-0,080095;-0,040924;0,121018
0,059218;-0,078403;-0,035103;0,113506
0,059318;-0,078359;-0,021800;0,100159
0,059418;-0,078097;-0,012499;0,090596
0,059518;-0,075839;-0,015910;0,091749
0,059618;-0,071108;-0,032053;0,103161
0,059718;-0,065012;-0,052455;0,117466
0,059818;-0,059439;-0,066175;0,125614
0,059918;-0,055746;-0,067317;0,123064
0,060018;-0,053873;-0,058743;0,112616
0,060118;-0,052488;-0,049536;0,102023
0,060218;-0,050017;-0,048239;0,098256
0,060318;-0,045795;-0,056827;0,102622
0,060418;-0,040496;-0,069688;0,110184
0,060518;-0,035573;-0,078186;0,113758
0,060618;-0,032118;-0,077334;0,109453
0,060718;-0,030013;-0,069654;0,099667
0,060818;-0,027971;-0,063407;0,091378
0,060918;-0,024465;-0,066506;0,090971
0,061018;-0,018852;-0,080541;0,099393
0,061118;-0,011898;-0,099255;0,111152
0,061218;-0,005304;-0,112614;0,117919
0,061318;-0,000583;-0,113610;0,114193
0,061418;0,001946;-0,103005;0,101060
0,061518;0,003333;-0,088734;0,085401
0,061618;0,005250;-0,080448;0,075198
0,061718;0,008847;-0,083094;0,074246
0,061818;0,014037;-0,093986;0,079949
0,061918;0,019659;-0,105258;0,085599
0,062018;0,024390;-0,109759;0,085369
0,062118;0,027710;-0,106071;0,078361
0,062218;0,030232;-0,099138;0,068906
0,062318;0,033185;-0,096200;0,063016
0,062418;0,037444;-0,101157;0,063713
0,062518;0,042839;-0,111512;0,068672
0,062618;0,048241;-0,120130;0,071889
0,062718;0,052368;-0,120488;0,068120
0,062818;0,054727;-0,111585;0,056858
0,062918;0,056002;-0,098924;0,042922
0,063018;0,057608;-0,090821;0,033213
0,063118;0,060721;-0,092646;0,031926
0,063218;0,065463;-0,103075;0,037613
0,063318;0,070823;-0,114976;0,044153
0,063418;0,075348;-0,120281;0,044932
0,063518;0,078119;-0,115392;0,037274
0,063618;0,079328;-0,103385;0,024057
0,063718;0,080077;-0,091571;0,011493
0,063818;0,081566;-0,086305;0,004738
0,063918;0,084262;-0,088753;0,004491
