"Time in s";"Phase Current A/Terminal j in kA";"Phase Current B/Terminal j in kA";"Phase Current C/Terminal j in kA";"Phase Voltage B/Terminal j in p.u.";"Phase Voltage C/Terminal j in p.u.";"Phase Voltage A/Terminal j in p.u."
-0,092100;-0,119902;0,213131;-0,093229;-0,968775;0,228669;0,740106
-0,092000;-0,126484;0,212399;-0,085915;-0,956958;0,191319;0,765639
-0,091900;-0,132886;0,211366;-0,078479;-0,943781;0,153697;0,790083
-0,091800;-0,139100;0,210032;-0,070932;-0,929262;0,115857;0,813405
-0,091700;-0,145116;0,208399;-0,063283;-0,913423;0,077852;0,835571
-0,091600;-0,150926;0,206471;-0,055545;-0,896286;0,039737;0,856549
-0,091500;-0,156522;0,204249;-0,047727;-0,877875;0,001565;0,876310
-0,091400;-0,161895;0,201737;-0,039842;-0,858216;-0,036609;0,894825
-0,091300;-0,167039;0,198938;-0,031899;-0,837338;-0,074730;0,912068
-0,091200;-0,171945;0,195856;-0,023912;-0,815269;-0,112745;0,928014
-0,091100;-0,176606;0,192496;-0,015890;-0,792042;-0,150599;0,942642
-0,091000;-0,181016;0,188862;-0,007846;-0,767690;-0,188239;0,955929
-0,090900;-0,185169;0,184960;0,000209;-0,742246;-0,225612;0,967858
-0,090800;-0,189058;0,180794;0,008264;-0,715748;-0,262663;0,978411
-0,090700;-0,192679;0,176372;0,016307;-0,688232;-0,299341;0,987574
-0,090600;-0,196025;0,171699;0,024326;-0,659739;-0,335594;0,995333
-0,090500;-0,199093;0,166782;0,032311;-0,630308;-0,371370;1,001678
-0,090400;-0,201879;0,161628;0,040251;-0,599981;-0,406618;1,006599
-0,090300;-0,204377;0,156244;0,048133;-0,568802;-0,441288;1,010090
-0,090200;-0,206585;0,150639;0,055947;-0,536815;-0,475330;1,012145
-0,090100;-0,208500;0,144819;0,063681;-0,504065;-0,508698;1,012763
-0,090000;-0,210118;0,138793;0,071324;-0,470599;-0,541342;1,011941
-0,089900;-0,211437;0,132570;0,078867;-0,436464;-0,573218;1,009681
-0,089800;-0,212455;0,126159;0,086297;-0,401709;-0,604278;1,005987
-0,089700;-0,213172;0,119568;0,093604;-0,366383;-0,634480;1,000864
-0,089600;-0,213586;0,112807;0,100778;-0,330537;-0,663781;0,994318
-0,089500;-0,213696;0,105886;0,107809;-0,294222;-0,692138;0,986360
-0,089400;-0,213502;0,098815;0,114687;-0,257488;-0,719512;0,977000
-0,089300;-0,213005;0,091603;0,121402;-0,220389;-0,745864;0,966252
-0,089200;-0,212206;0,084261;0,127945;-0,182976;-0,771156;0,954132
-0,089100;-0,211105;0,076800;0,134305;-0,145303;-0,795352;0,940655
-0,089000;-0,209704;0,069229;0,140475;-0,107424;-0,818418;0,925842
-0,088900;-0,208005;0,061560;0,146446;-0,069393;-0,840320;0,909713
-0,088800;-0,206011;0,053803;0,152208;-0,031262;-0,861029;0,892292
-0,088700;-0,203723;0,045970;0,157754;0,006913;-0,880515;0,873602
-0,088600;-0,201146;0,038071;0,163075;0,045078;-0,898749;0,853672
-0,088500;-0,198284;0,030119;0,168165;0,083178;-0,915706;0,832528
-0,088400;-0,195139;0,022123;0,173016;0,121161;-0,931363;0,810201
-0,088300;-0,191717;0,014096;0,177621;0,158972;-0,945695;0,786724
-0,088200;-0,188023;0,006050;0,181974;0,196557;-0,958685;0,762128
-0,088100;-0,184063;-0,002006;0,186068;0,233862;-0,970311;0,736449
-0,088000;-0,179840;-0,010058;0,189898;0,270836;-0,980559;0,709723
-0,087900;-0,175363;-0,018096;0,193459;0,307425;-0,989414;0,681989
-0,087800;-0,170636;-0,026109;0,196744;0,343577;-0,996862;0,653285
-0,087700;-0,165666;-0,034084;0,199750;0,379241;-1,002894;0,623653
-0,087600;-0,160461;-0,042012;0,202473;0,414366;-1,007500;0,593135
-0,087500;-0,155028;-0,049879;0,204907;0,448902;-1,010675;0,561773
-0,087400;-0,149374;-0,057676;0,207050;0,482801;-1,012413;0,529613
-0,087300;-0,143508;-0,065391;0,208899;0,516013;-1,012713;0,496700
-0,087200;-0,137438;-0,073013;0,210451;0,548492;-1,011573;0,463081
-0,087100;-0,131173;-0,080531;0,211704;0,580192;-1,008995;0,428804
-0,087000;-0,124721;-0,087935;0,212656;0,611067;-1,004984;0,393917
-0,086900;-0,118093;-0,095214;0,213307;0,641074;-0,999544;0,358470
-0,086800;-0,111296;-0,102358;0,213654;0,670170;-0,992684;0,322514
-0,086700;-0,104341;-0,109356;0,213697;0,698313;-0,984413;0,286100
-0,086600;-0,097238;-0,116199;0,213437;0,725464;-0,974743;0,249279
-0,086500;-0,089996;-0,122877;0,212873;0,751584;-0,963687;0,212103
