"Time in s";"Phase Current A/Terminal j in kA";"Phase Current B/Terminal j in kA";"Phase Current C/Terminal j in kA";"Phase Voltage B/Terminal j in p.u.";"Phase Voltage C/Terminal j in p.u.";"Phase Voltage A/Terminal j in p.u."
-0,065700;0,192690;-0,176398;-0,016292;0,688232;0,299335;-0,987567
-0,065600;0,196037;-0,171725;-0,024312;0,659739;0,335588;-0,995328
-0,065500;0,199105;-0,166808;-0,032297;0,630309;0,371365;-1,001674
-0,065400;0,201891;-0,161654;-0,040236;0,599984;0,406614;-1,006597
-0,065300;0,204389;-0,156271;-0,048118;0,568805;0,441285;-1,010090
-0,065200;0,206597;-0,150665;-0,055932;0,536819;0,475329;-1,012147
-0,065100;0,208511;-0,144845;-0,063666;0,504069;0,508697;-1,012766
-0,065000;0,210129;-0,138819;-0,071310;0,470603;0,541343;-1,011946
-0,064900;0,211449;-0,132597;-0,078852;0,436469;0,573219;-1,009687
-0,064800;0,212468;-0,126185;-0,086283;0,401714;0,604280;-1,005994
-0,064700;0,213185;-0,119595;-0,093591;0,366388;0,634483;-1,000871
-0,064600;0,213599;-0,112834;-0,100765;0,330542;0,663785;-0,994326
-0,064500;0,213710;-0,105913;-0,107797;0,294226;0,692143;-0,986368
-0,064400;0,213517;-0,098842;-0,114675;0,257491;0,719517;-0,977009
-0,064300;0,213020;-0,091630;-0,121390;0,220391;0,745869;-0,966261
-0,064200;0,212221;-0,084288;-0,127933;0,182978;0,771162;-0,954140
-0,064100;0,211120;-0,076826;-0,134294;0,145305;0,795358;-0,940663
-0,064000;0,209719;-0,069255;-0,140464;0,107425;0,818424;-0,925849
-0,063900;0,208021;-0,061586;-0,146435;0,069392;0,840327;-0,909719
-0,063800;0,206026;-0,053829;-0,152197;0,031261;0,861036;-0,892297
-0,063700;0,203739;-0,045995;-0,157744;-0,006914;0,880521;-0,873607
-0,063600;0,201163;-0,038097;-0,163066;-0,045080;0,898755;-0,853675
-0,063500;0,198300;-0,030144;-0,168156;-0,083181;0,915712;-0,832530
-0,063400;0,195156;-0,022148;-0,173007;-0,121165;0,931367;-0,810203
-0,063300;0,191734;-0,014121;-0,177613;-0,158976;0,945699;-0,786723
-0,063200;0,188040;-0,006074;-0,181966;-0,196561;0,958687;-0,762126
-0,063100;0,184078;0,001982;-0,186060;-0,233867;0,970313;-0,736446
-0,063000;0,179855;0,010035;-0,189890;-0,270841;0,980560;-0,709719
-0,062900;0,175377;0,018074;-0,193451;-0,307430;0,989414;-0,681984
-0,062800;0,170649;0,026087;-0,196736;-0,343582;0,996861;-0,653279
-0,062700;0,165679;0,034063;-0,199742;-0,379245;1,002892;-0,623647
-0,062600;0,160474;0,041990;-0,202464;-0,414370;1,007498;-0,593128
-0,062500;0,155040;0,049858;-0,204898;-0,448906;1,010672;-0,561766
-0,062400;0,149386;0,057655;-0,207041;-0,482804;1,012409;-0,529605
-0,062300;0,143520;0,065370;-0,208890;-0,516016;1,012709;-0,496693
-0,062200;0,137449;0,072992;-0,210442;-0,548494;1,011568;-0,463074
-0,062100;0,131184;0,080511;-0,211695;-0,580194;1,008991;-0,428797
-0,062000;0,124732;0,087915;-0,212647;-0,611068;1,004980;-0,393911
-0,061900;0,118103;0,095194;-0,213296;-0,641074;0,999540;-0,358466
-0,061800;0,111306;0,102338;-0,213643;-0,670170;0,992680;-0,322511
-0,061700;0,104350;0,109336;-0,213686;-0,698313;0,984410;-0,286097
-0,061600;0,097247;0,116179;-0,213426;-0,725463;0,974740;-0,249277
-0,061500;0,090005;0,122857;-0,212862;-0,751583;0,963686;-0,212103
-0,061400;0,082636;0,129360;-0,211996;-0,776635;0,951262;-0,174627
-0,061300;0,075149;0,135679;-0,210828;-0,800583;0,937486;-0,136903
-0,061200;0,067555;0,141806;-0,209361;-0,823393;0,922378;-0,098985
-0,061100;0,059865;0,147731;-0,207596;-0,845033;0,905959;-0,060925
-0,061000;0,052090;0,153446;-0,205537;-0,865473;0,888253;-0,022780
-0,060900;0,044241;0,158943;-0,203185;-0,884682;0,869284;0,015398
-0,060800;0,036330;0,164215;-0,200544;-0,902635;0,849080;0,053554
-0,060700;0,028366;0,169252;-0,197619;-0,919304;0,827670;0,091634
-0,060600;0,020363;0,174050;-0,194412;-0,934667;0,805083;0,129584
-0,060500;0,012330;0,178600;-0,190930;-0,948702;0,781353;0,167350
-0,060400;0,004280;0,182896;-0,187176;-0,961389;0,756512;0,204878
-0,060300;-0,003776;0,186932;-0,183156;-0,972710;0,730596;0,242114
-0,060200;-0,011827;0,190703;-0,178876;-0,982648;0,703642;0,279007
-0,060100;-0,019861;0,194202;-0,174341;-0,991191;0,675687;0,315503
-0,060000;-0,027867;0,197426;-0,169559;-0,998324;0,646773;0,351551
-0,059900;-0,035833;0,200369;-0,164536;-1,004039;0,616940;0,387099
-0,059800;-0,043748;0,203027;-0,159279;-1,008327;0,586230;0,422097
-0,059700;-0,051601;0,205397;-0,153796;-1,011182;0,554687;0,456496
-0,059600;-0,059381;0,207475;-0,148094;-1,012600;0,522355;0,490245
-0,059500;-0,067076;0,209258;-0,142181;-1,012580;0,489281;0,523298
-0,059400;-0,074676;0,210744;-0,136067;-1,011120;0,455512;0,555607
-0,059300;-0,082170;0,211930;-0,129759;-1,008223;0,421096;0,587127
-0,059200;-0,089547;0,212815;-0,123267;-1,003894;0,386081;0,617813
-0,059100;-0,096797;0,213397;-0,116600;-0,998138;0,350518;0,647620
-0,059000;-0,103910;0,213677;-0,109767;-0,990964;0,314457;0,676507
-0,058900;-0,110874;0,213652;-0,102778;-0,982381;0,277948;0,704433
-0,058800;-0,117681;0,213324;-0,095643;-0,972403;0,241045;0,731358
-0,058700;-0,124321;0,212693;-0,088372;-0,961043;0,203799;0,757243
-0,058600;-0,130785;0,211760;-0,080975;-0,948316;0,166264;0,782053
-0,058500;-0,137062;0,210526;-0,073464;-0,934243;0,128492;0,805751
-0,058400;-0,143144;0,208992;-0,065848;-0,918842;0,090538;0,828304
-0,058300;-0,149023;0,207161;-0,058138;-0,902135;0,052455;0,849680
-0,058200;-0,154691;0,205037;-0,050346;-0,884146;0,014297;0,869848
-0,058100;-0,160138;0,202620;-0,042482;-0,864900;-0,023881;0,888781
-0,058000;-0,165358;0,199916;-0,034558;-0,844426;-0,062025;0,906450
-0,057900;-0,170343;0,196928;-0,026585;-0,822751;-0,100080;0,922832
-0,057800;-0,175086;0,193660;-0,018574;-0,799908;-0,137994;0,937902
-0,057700;-0,179580;0,190116;-0,010536;-0,775927;-0,175711;0,951639
-0,057600;-0,183819;0,186303;-0,002484;-0,750845;-0,213179;0,964024
-0,057500;-0,187797;0,182225;0,005572;-0,724695;-0,250344;0,975039
-0,057400;-0,191508;0,177887;0,013621;-0,697515;-0,287153;0,984668
-0,057300;-0,194946;0,173297;0,021649;-0,669344;-0,323554;0,992898
-0,057200;-0,198108;0,168461;0,029647;-0,640222;-0,359495;0,999717
-0,057100;-0,200988;0,163385;0,037603;-0,610190;-0,394925;1,005115
-0,057000;-0,203583;0,158077;0,045505;-0,579291;-0,429795;1,009085
-0,056900;-0,205888;0,152545;0,053343;-0,547568;-0,464053;1,011621
-0,056800;-0,207900;0,146795;0,061105;-0,515068;-0,497652;1,012720
-0,056700;-0,209617;0,140837;0,068780;-0,481836;-0,530544;1,012379
-0,056600;-0,211037;0,134679;0,076357;-0,447919;-0,562682;1,010600
-0,056500;-0,212156;0,128330;0,083826;-0,413365;-0,594020;1,007385
-0,056400;-0,212974;0,121798;0,091176;-0,378224;-0,624514;1,002738
-0,056300;-0,213489;0,115093;0,098396;-0,342546;-0,654120;0,996666
-0,056200;-0,213701;0,108224;0,105477;-0,306380;-0,682797;0,989178
-0,056100;-0,213609;0,101202;0,112407;-0,269780;-0,710504;0,980284
-0,056000;-0,213214;0,094036;0,119178;-0,232796;-0,737201;0,969997
-0,055900;-0,212515;0,086736;0,125779;-0,195481;-0,762851;0,958332
-0,055800;-0,211515;0,079313;0,132202;-0,157888;-0,787416;0,945305
-0,055700;-0,210214;0,071777;0,138437;-0,120071;-0,810863;0,930934
-0,055600;-0,208614;0,064139;0,144475;-0,082084;-0,833157;0,915241
-0,055500;-0,206718;0,056411;0,150308;-0,043980;-0,854267;0,898247
-0,055400;-0,204528;0,048601;0,155927;-0,005813;-0,874163;0,879976
-0,055300;-0,202048;0,040723;0,161324;0,032362;-0,892817;0,860455
-0,055200;-0,199280;0,032787;0,166493;0,070491;-0,910203;0,839712
-0,055100;-0,196229;0,024805;0,171425;0,108520;-0,926294;0,817775
-0,055000;-0,192899;0,016787;0,176113;0,146394;-0,941070;0,794676
-0,054900;-0,189295;0,008745;0,180551;0,184061;-0,954508;0,770447
-0,054800;-0,185423;0,000691;0,184732;0,221466;-0,966590;0,745124
-0,054700;-0,181286;-0,007365;0,188651;0,258556;-0,977298;0,718742
-0,054600;-0,176892;-0,015409;0,192301;0,295279;-0,986618;0,691339
-0,054500;-0,172247;-0,023432;0,195679;0,331582;-0,994535;0,662953
-0,054400;-0,167357;-0,031422;0,198778;0,367414;-1,001039;0,633625
-0,054300;-0,162229;-0,039367;0,201595;0,402724;-1,006121;0,603397
-0,054200;-0,156870;-0,047256;0,204126;0,437462;-1,009773;0,572311
-0,054100;-0,151289;-0,055078;0,206366;0,471578;-1,011990;0,540412
-0,054000;-0,145492;-0,062821;0,208313;0,505024;-1,012768;0,507744
-0,053900;-0,139489;-0,070475;0,209965;0,537752;-1,012108;0,474356
-0,053800;-0,133288;-0,078030;0,211317;0,569716;-1,010009;0,440293
-0,053700;-0,126897;-0,085473;0,212370;0,600871;-1,006475;0,405605
-0,053600;-0,120325;-0,092795;0,213120;0,631171;-1,001511;0,370340
-0,053500;-0,113583;-0,099985;0,213568;0,660575;-0,995124;0,334549
-0,053400;-0,106680;-0,107033;0,213713;0,689040;-0,987322;0,298283
-0,053300;-0,099625;-0,113929;0,213553;0,716525;-0,978118;0,261592
-0,053200;-0,092428;-0,120663;0,213090;0,742993;-0,967523;0,224530
-0,053100;-0,085100;-0,127225;0,212325;0,768405;-0,955554;0,187149
-0,053000;-0,077651;-0,133607;0,211257;0,792724;-0,942226;0,149502
-0,052900;-0,070091;-0,139799;0,209890;0,815918;-0,927560;0,111643
-0,052800;-0,062432;-0,145792;0,208224;0,837951;-0,911576;0,073624
-0,052700;-0,054685;-0,151578;0,206262;0,858794;-0,894296;0,035502
-0,052600;-0,046859;-0,157148;0,204008;0,878417;-0,875745;-0,002672
-0,052500;-0,038967;-0,162496;0,201463;0,896791;-0,855950;-0,040841
-0,052400;-0,031020;-0,167612;0,198632;0,913891;-0,834939;-0,078953
-0,052300;-0,023028;-0,172490;0,195518;0,929692;-0,812741;-0,116952
-0,052200;-0,015004;-0,177123;0,192127;0,944173;-0,789388;-0,154785
-0,052100;-0,006958;-0,181505;0,188463;0,957311;-0,764913;-0,192398
-0,052000;0,001097;-0,185628;0,184531;0,969089;-0,739351;-0,229737
-0,051900;0,009151;-0,189488;0,180337;0,979490;-0,712739;-0,266751
-0,051800;0,017192;-0,193079;0,175887;0,988499;-0,685114;-0,303385
-0,051700;0,025208;-0,196395;0,171186;0,996103;-0,656515;-0,339588
-0,051600;0,033189;-0,199432;0,166243;1,002292;-0,626984;-0,375308
-0,051500;0,041123;-0,202185;0,161063;1,007056;-0,596561;-0,410495
-0,051400;0,048998;-0,204652;0,155654;1,010390;-0,565290;-0,445099
-0,051300;0,056803;-0,206827;0,150024;1,012287;-0,533217;-0,479070
-0,051200;0,064528;-0,208709;0,144181;1,012746;-0,500385;-0,512361
-0,051100;0,072161;-0,210294;0,138133;1,011766;-0,466843;-0,544923
-0,051000;0,079691;-0,211580;0,131889;1,009348;-0,432637;-0,576711
-0,050900;0,087108;-0,212565;0,125457;1,005496;-0,397816;-0,607680
-0,050800;0,094402;-0,213249;0,118847;1,000214;-0,362430;-0,637784
-0,050700;0,101561;-0,213629;0,112068;0,993512;-0,326529;-0,666983
-0,050600;0,108576;-0,213706;0,105130;0,985398;-0,290164;-0,695234
-0,050500;0,115437;-0,213479;0,098042;0,975883;-0,253386;-0,722497
-0,050400;0,122134;-0,212949;0,090815;0,964981;-0,216249;-0,748733
-0,050300;0,128657;-0,212116;0,083459;0,952709;-0,178804;-0,773905
-0,050200;0,134997;-0,210982;0,075985;0,939082;-0,141105;-0,797977
-0,050100;0,141146;-0,209548;0,068402;0,924121;-0,103206;-0,820916
-0,050000;0,147094;-0,207816;0,060723;0,907847;-0,065159;-0,842687
-0,049900;0,152832;-0,205789;0,052957;0,890282;-0,027021;-0,863262
-0,049800;0,158354;-0,203469;0,045115;0,871453;0,011156;-0,882609
-0,049700;0,163651;-0,200861;0,037210;0,851385;0,049318;-0,900702
-0,049600;0,168715;-0,197967;0,029252;0,830107;0,087409;-0,917516
-0,049500;0,173539;-0,194791;0,021252;0,807650;0,125376;-0,933025
-0,049400;0,178117;-0,191339;0,013222;0,784045;0,163164;-0,947209
-0,049300;0,182442;-0,187615;0,005173;0,759325;0,200721;-0,960047
-0,049200;0,186507;-0,183624;-0,002883;0,733527;0,237993;-0,971520
-0,049100;0,190307;-0,179372;-0,010935;0,706686;0,274926;-0,981613
-0,049000;0,193837;-0,174866;-0,018971;0,678841;0,311469;-0,990311
-0,048900;0,197092;-0,170111;-0,026981;0,650032;0,347569;-0,997601
-0,048800;0,200066;-0,165114;-0,034952;0,620298;0,383176;-1,003474
-0,048700;0,202756;-0,159883;-0,042874;0,589683;0,418237;-1,007921
-0,048600;0,205158;-0,154424;-0,050734;0,558231;0,452705;-1,010935
-0,048500;0,207269;-0,148746;-0,058523;0,525985;0,486529;-1,012513
-0,048400;0,209084;-0,142856;-0,066228;0,492991;0,519662;-1,012653
-0,048300;0,210603;-0,136764;-0,073839;0,459297;0,552056;-1,011353
-0,048200;0,211823;-0,130477;-0,081345;0,424950;0,583666;-1,008616
-0,048100;0,212741;-0,124005;-0,088736;0,389999;0,614446;-1,004445
-0,048000;0,213358;-0,117357;-0,096001;0,354495;0,644353;-0,998848
-0,047900;0,213671;-0,110542;-0,103129;0,318486;0,673345;-0,991831
-0,047800;0,213680;-0,103569;-0,110111;0,282025;0,701379;-0,983404
-0,047700;0,213386;-0,096450;-0,116936;0,245163;0,728417;-0,973580
-0,047600;0,212788;-0,089193;-0,123595;0,207952;0,754420;-0,962372
-0,047500;0,211888;-0,081810;-0,130078;0,170446;0,779351;-0,949797
-0,047400;0,210687;-0,074311;-0,136376;0,132698;0,803174;-0,935872
-0,047300;0,209187;-0,066706;-0,142481;0,094762;0,825856;-0,920617
-0,047200;0,207389;-0,059006;-0,148383;0,056690;0,847364;-0,904054
-0,047100;0,205297;-0,051222;-0,154074;0,018538;0,867668;-0,886207
-0,047000;0,202913;-0,043366;-0,159547;-0,019640;0,886739;-0,867099
-0,046900;0,200240;-0,035448;-0,164793;-0,057790;0,904551;-0,846760
-0,046800;0,197283;-0,027479;-0,169804;-0,095859;0,921076;-0,825218
-0,046700;0,194046;-0,019472;-0,174574;-0,133791;0,936293;-0,802502
-0,046600;0,190533;-0,011436;-0,179096;-0,171532;0,950179;-0,778647
-0,046500;0,186749;-0,003385;-0,183364;-0,209031;0,962715;-0,753684
-0,046400;0,182700;0,004671;-0,187371;-0,246232;0,973883;-0,727651
-0,046300;0,178391;0,012721;-0,191111;-0,283083;0,983667;-0,700584
-0,046200;0,173828;0,020752;-0,194581;-0,319532;0,992053;-0,672521
-0,046100;0,169019;0,028754;-0,197773;-0,355527;0,999029;-0,643503
-0,046000;0,163969;0,036715;-0,200685;-0,391016;1,004586;-0,613570
-0,045900;0,158687;0,044624;-0,203311;-0,425950;1,008715;-0,582765
-0,045800;0,153179;0,052470;-0,205649;-0,460279;1,011411;-0,551132
-0,045700;0,147453;0,060241;-0,207694;-0,493953;1,012669;-0,518716
-0,045600;0,141518;0,067926;-0,209444;-0,526926;1,012488;-0,485562
-0,045500;0,135381;0,075515;-0,210897;-0,559150;1,010869;-0,451719
-0,045400;0,129053;0,082997;-0,212049;-0,590579;1,007813;-0,417234
-0,045300;0,122540;0,090360;-0,212901;-0,621169;1,003325;-0,382156
-0,045200;0,115854;0,097595;-0,213450;-0,650876;0,997411;-0,346534
-0,045100;0,109003;0,104692;-0,213695;-0,679659;0,990079;-0,310421
-0,045000;0,101997;0,111640;-0,213637;-0,707475;0,981341;-0,273866
-0,044900;0,094847;0,118429;-0,213275;-0,734286;0,971208;-0,236922
-0,044800;0,087561;0,125049;-0,212611;-0,760054;0,959695;-0,199641
-0,044700;0,080151;0,131492;-0,211644;-0,784742;0,946819;-0,162077
-0,044600;0,072627;0,137749;-0,210376;-0,808314;0,932597;-0,124282
-0,044500;0,065000;0,143809;-0,208809;-0,830738;0,917049;-0,086311
-0,044400;0,057281;0,149665;-0,206946;-0,851981;0,900198;-0,048217
-0,044300;0,049480;0,155308;-0,204788;-0,872014;0,882069;-0,010055
-0,044200;0,041609;0,160731;-0,202340;-0,890807;0,862685;0,028122
-0,044100;0,033679;0,165925;-0,199604;-0,908335;0,842076;0,066259
-0,044000;0,025700;0,170884;-0,196584;-0,924572;0,820270;0,104302
-0,043900;0,017686;0,175599;-0,193285;-0,939494;0,797299;0,142196
-0,043800;0,009646;0,180065;-0,189711;-0,953082;0,773194;0,179888
-0,043700;0,001593;0,184276;-0,185868;-0,965316;0,747991;0,217325
-0,043600;-0,006463;0,188224;-0,181761;-0,976177;0,721724;0,254453
-0,043500;-0,014510;0,191905;-0,177395;-0,985652;0,694433;0,291219
-0,043400;-0,022536;0,195313;-0,172777;-0,993725;0,666154;0,327572
-0,043300;-0,030530;0,198443;-0,167914;-1,000387;0,636929;0,363459
-0,043200;-0,038480;0,201292;-0,162812;-1,005627;0,606798;0,398829
-0,043100;-0,046376;0,203855;-0,157479;-1,009438;0,575805;0,433633
-0,043000;-0,054206;0,206127;-0,151921;-1,011815;0,543994;0,467820
-0,042900;-0,061959;0,208107;-0,146148;-1,012753;0,511410;0,501343
-0,042800;-0,069624;0,209791;-0,140168;-1,012253;0,478100;0,534153
-0,042700;-0,077190;0,211177;-0,133988;-1,010314;0,444110;0,566204
-0,042600;-0,084646;0,212263;-0,127617;-1,006939;0,409488;0,597451
-0,042500;-0,091982;0,213048;-0,121066;-1,002133;0,374285;0,627848
-0,042400;-0,099187;0,213529;-0,114342;-0,995904;0,338550;0,657354
-0,042300;-0,106251;0,213707;-0,107456;-0,988259;0,302334;0,685925
-0,042200;-0,113165;0,213582;-0,100417;-0,979210;0,265688;0,713522
-0,042100;-0,119917;0,213152;-0,093235;-0,968769;0,228665;0,740104
-0,042000;-0,126499;0,212420;-0,085921;-0,956951;0,191316;0,765635
-0,041900;-0,132901;0,211387;-0,078485;-0,943774;0,153696;0,790078
-0,041800;-0,139115;0,210052;-0,070937;-0,929255;0,115858;0,813398
-0,041700;-0,145131;0,208419;-0,063289;-0,913416;0,077854;0,835562
-0,041600;-0,150940;0,206490;-0,055550;-0,896279;0,039741;0,856539
-0,041500;-0,156535;0,204268;-0,047733;-0,877869;0,001570;0,876298
-0,041400;-0,161908;0,201755;-0,039848;-0,858210;-0,036602;0,894813
-0,041300;-0,167050;0,198956;-0,031906;-0,837333;-0,074723;0,912055
-0,041200;-0,171955;0,195874;-0,023919;-0,815265;-0,112737;0,928002
-0,041100;-0,176616;0,192513;-0,015897;-0,792039;-0,150591;0,942630
-0,041000;-0,181026;0,188879;-0,007854;-0,767687;-0,188231;0,955918
-0,040900;-0,185178;0,184977;0,000201;-0,742244;-0,225604;0,967848
-0,040800;-0,189067;0,180811;0,008256;-0,715747;-0,262656;0,978403
-0,040700;-0,192688;0,176389;0,016299;-0,688232;-0,299335;0,987567
-0,040600;-0,196035;0,171716;0,024319;-0,659740;-0,335588;0,995328
-0,040500;-0,199103;0,166799;0,032304;-0,630310;-0,371365;1,001675
-0,040400;-0,201889;0,161645;0,040244;-0,599984;-0,406614;1,006598
-0,040300;-0,204387;0,156261;0,048126;-0,568805;-0,441285;1,010090
-0,040200;-0,206595;0,150655;0,055940;-0,536819;-0,475329;1,012147
-0,040100;-0,208509;0,144835;0,063674;-0,504069;-0,508697;1,012766
-0,040000;-0,210127;0,138810;0,071318;-0,470603;-0,541343;1,011946
-0,039900;-0,211447;0,132587;0,078860;-0,436469;-0,573219;1,009688
-0,039800;-0,212466;0,126175;0,086291;-0,401714;-0,604281;1,005995
-0,039700;-0,213183;0,119585;0,093598;-0,366388;-0,634484;1,000872
-0,039600;-0,213597;0,112824;0,100773;-0,330542;-0,663785;0,994327
-0,039500;-0,213708;0,105903;0,107805;-0,294226;-0,692143;0,986369
-0,039400;-0,213515;0,098832;0,114683;-0,257491;-0,719518;0,977009
-0,039300;-0,213018;0,091620;0,121399;-0,220391;-0,745870;0,966261
-0,039200;-0,212219;0,084277;0,127941;-0,182978;-0,771162;0,954140
-0,039100;-0,211118;0,076815;0,134302;-0,145305;-0,795358;0,940663
-0,039000;-0,209717;0,069244;0,140473;-0,107425;-0,818424;0,925849
-0,038900;-0,208018;0,061575;0,146443;-0,069392;-0,840327;0,909719
-0,038800;-0,206024;0,053818;0,152206;-0,031261;-0,861036;0,892297
-0,038700;-0,203737;0,045984;0,157752;0,006914;-0,880521;0,873607
-0,038600;-0,201160;0,038086;0,163074;0,045080;-0,898755;0,853675
-0,038500;-0,198297;0,030133;0,168165;0,083181;-0,915712;0,832530
-0,038400;-0,195153;0,022137;0,173016;0,121165;-0,931367;0,810202
-0,038300;-0,191731;0,014110;0,177621;0,158976;-0,945699;0,786723
-0,038200;-0,188037;0,006062;0,181975;0,196561;-0,958687;0,762126
-0,038100;-0,184075;-0,001994;0,186069;0,233867;-0,970313;0,736446
-0,038000;-0,179852;-0,010047;0,189899;0,270841;-0,980560;0,709719
-0,037900;-0,175374;-0,018085;0,193459;0,307430;-0,989413;0,681984
-0,037800;-0,170646;-0,026099;0,196745;0,343582;-0,996861;0,653279
-0,037700;-0,165676;-0,034075;0,199750;0,379245;-1,002892;0,623646
-0,037600;-0,160470;-0,042002;0,202472;0,414370;-1,007497;0,593127
-0,037500;-0,155036;-0,049870;0,204906;0,448906;-1,010671;0,561765
-0,037400;-0,149382;-0,057667;0,207049;0,482804;-1,012409;0,529605
-0,037300;-0,143516;-0,065382;0,208898;0,516016;-1,012708;0,496692
-0,037200;-0,137445;-0,073005;0,210450;0,548494;-1,011568;0,463074
-0,037100;-0,131180;-0,080523;0,211703;0,580194;-1,008991;0,428797
-0,037000;-0,124728;-0,087927;0,212655;0,611068;-1,004979;0,393911
-0,036900;-0,118098;-0,095206;0,213305;0,641074;-0,999540;0,358465
-0,036800;-0,111301;-0,102350;0,213651;0,670170;-0,992680;0,322510
-0,036700;-0,104346;-0,109349;0,213694;0,698313;-0,984409;0,286097
-0,036600;-0,097242;-0,116192;0,213434;0,725463;-0,974740;0,249277
-0,036500;-0,090000;-0,122870;0,212870;0,751583;-0,963685;0,212102
-0,036400;-0,082631;-0,129373;0,212004;0,776635;-0,951261;0,174627
-0,036300;-0,075144;-0,135692;0,210836;0,800583;-0,937485;0,136903
-0,036200;-0,067550;-0,141819;0,209369;0,823393;-0,922377;0,098984
-0,036100;-0,059860;-0,147744;0,207604;0,845033;-0,905958;0,060925
-0,036000;-0,052085;-0,153459;0,205544;0,865473;-0,888252;0,022780
-0,035900;-0,044236;-0,158956;0,203192;0,884682;-0,869284;-0,015398
-0,035800;-0,036324;-0,164228;0,200552;0,902634;-0,849080;-0,053555
-0,035700;-0,028360;-0,169265;0,197626;0,919304;-0,827669;-0,091635
-0,035600;-0,020357;-0,174063;0,194419;0,934667;-0,805083;-0,129584
-0,035500;-0,012324;-0,178613;0,190937;0,948702;-0,781352;-0,167350
-0,035400;-0,004274;-0,182909;0,187183;0,961389;-0,756511;-0,204878
-0,035300;0,003783;-0,186945;0,183163;0,972710;-0,730595;-0,242115
-0,035200;0,011833;-0,190716;0,178882;0,982648;-0,703641;-0,279007
-0,035100;0,019868;-0,194215;0,174348;0,991190;-0,675687;-0,315503
-0,035000;0,027873;-0,197439;0,169565;0,998324;-0,646773;-0,351551
-0,034900;0,035840;-0,200382;0,164542;1,004039;-0,616939;-0,387099
-0,034800;0,043755;-0,203040;0,159285;1,008327;-0,586229;-0,422098
-0,034700;0,051608;-0,205410;0,153801;1,011182;-0,554686;-0,456496
-0,034600;0,059388;-0,207488;0,148099;1,012600;-0,522354;-0,490246
-0,034500;0,067084;-0,209271;0,142187;1,012579;-0,489281;-0,523298
-0,034400;0,074684;-0,210756;0,136072;1,011119;-0,455512;-0,555608
-0,034300;0,082178;-0,211942;0,129765;1,008223;-0,421095;-0,587128
-0,034200;0,089555;-0,212827;0,123272;1,003894;-0,386081;-0,617813
-0,034100;0,096805;-0,213410;0,116605;0,998138;-0,350517;-0,647620
-0,034000;0,103917;-0,213689;0,109772;0,990963;-0,314456;-0,676508
-0,033900;0,110882;-0,213664;0,102782;0,982381;-0,277947;-0,704433
-0,033800;0,117689;-0,213336;0,095647;0,972402;-0,241044;-0,731358
-0,033700;0,124329;-0,212705;0,088376;0,961042;-0,203798;-0,757244
-0,033600;0,130792;-0,211772;0,080979;0,948316;-0,166263;-0,782053
-0,033500;0,137070;-0,210537;0,073468;0,934242;-0,128491;-0,805751
-0,033400;0,143152;-0,209004;0,065851;0,918841;-0,090537;-0,828304
-0,033300;0,149032;-0,207173;0,058142;0,902134;-0,052454;-0,849680
-0,033200;0,154699;-0,205048;0,050349;0,884145;-0,014296;-0,869849
-0,033100;0,160147;-0,202632;0,042485;0,864900;0,023882;-0,888781
-0,033000;0,165367;-0,199927;0,034561;0,844425;0,062025;-0,906451
-0,032900;0,170352;-0,196939;0,026587;0,822751;0,100081;-0,922832
-0,032800;0,175094;-0,193671;0,018576;0,799907;0,137995;-0,937902
-0,032700;0,179589;-0,190127;0,010539;0,775927;0,175712;-0,951639
-0,032600;0,183828;-0,186314;0,002486;0,750844;0,213180;-0,964024
-0,032500;0,187805;-0,182235;-0,005570;0,724694;0,250345;-0,975039
-0,032400;0,191516;-0,177898;-0,013618;0,697514;0,287154;-0,984668
-0,032300;0,194955;-0,173308;-0,021647;0,669343;0,323555;-0,992898
-0,032200;0,198116;-0,168471;-0,029645;0,640221;0,359496;-0,999717
-0,032100;0,200996;-0,163395;-0,037601;0,610189;0,394926;-1,005115
-0,032000;0,203591;-0,158087;-0,045504;0,579290;0,429795;-1,009085
-0,031900;0,205896;-0,152554;-0,053342;0,547568;0,464054;-1,011621
-0,031800;0,207909;-0,146805;-0,061104;0,515067;0,497653;-1,012720
-0,031700;0,209626;-0,140847;-0,068779;0,481835;0,530544;-1,012379
-0,031600;0,211045;-0,134688;-0,076356;0,447918;0,562682;-1,010600
-0,031500;0,212164;-0,128339;-0,083825;0,413364;0,594020;-1,007385
-0,031400;0,212982;-0,121807;-0,091175;0,378223;0,624514;-1,002738
-0,031300;0,213497;-0,115102;-0,098396;0,342545;0,654121;-0,996666
-0,031200;0,213709;-0,108233;-0,105476;0,306380;0,682798;-0,989178
-0,031100;0,213617;-0,101210;-0,112407;0,269779;0,710505;-0,980284
-0,031000;0,213222;-0,094044;-0,119178;0,232795;0,737202;-0,969997
-0,030900;0,212523;-0,086744;-0,125779;0,195480;0,762851;-0,958331
-0,030800;0,211523;-0,079321;-0,132202;0,157888;0,787417;-0,945304
-0,030700;0,210222;-0,071785;-0,138437;0,120071;0,810863;-0,930934
-0,030600;0,208622;-0,064147;-0,144475;0,082083;0,833157;-0,915240
-0,030500;0,206725;-0,056418;-0,150308;0,043979;0,854268;-0,898246
-0,030400;0,204535;-0,048609;-0,155927;0,005812;0,874164;-0,879976
-0,030300;0,202055;-0,040730;-0,161325;-0,032363;0,892818;-0,860455
